laws_service_id,laws_service,laws,
0,"도로교통법 제152조 제1호,도로교통법 제43조",도로교통법 제152조 제1호 도로교통법 제43조를 위반하여 도로교통법 제80조에 따른 운전면허(원동기장치자전거면허는 제외한다. 이하 이 조에서 같다)를 받지 아니하거나(운전면허의 효력이 정지된 경우를 포함한다) 또는 도로교통법  제96조에 따른 국제운전면허증 또는 상호인정외국면허증을 받지 아니하고(운전이 금지된 경우와 유효기간이 지난 경우를 포함한다) 자동차를 운전한 사람 \n 누구든지 도로교통법 제80조에 따라 시ㆍ도경찰청장으로부터 운전면허를 받지 아니하거나 운전면허의 효력이 정지된 경우에는 자동차등을 운전하여서는 아니 된다.,
1,형법 제136조 제1항,형법 제136조 제1항 직무를 집행하는 공무원에 대하여 폭행 또는 협박한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
2,"도로교통법 제148조의2 제3항 제1호,도로교통법 제44조 제1항","도로교통법 제148조의2 제3항 제1호 혈중알코올농도가 0.2퍼센트 이상인 사람은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
3,형법 제156조,형법 제156조 타인으로 하여금 형사처분 또는 징계처분을 받게 할 목적으로 공무소 또는 공무원에 대하여 허위의 사실을 신고한 자는 10년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.,
4,형법 제257조 제1항,"형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다.",
5,"도로교통법 제148조의2 제1항,도로교통법 제44조 제1항,도로교통법 제152조 제1호,도로교통법 제43조","도로교통법 제148조의2 제1항 도로교통법  제44조제1항 또는 제2항을 2회 이상 위반한 사람(자동차등 또는 노면전차를 운전한 사람으로 한정한다. 다만, 개인형 이동장치를 운전하는 경우는 제외한다. 이하 이 조에서 같다)은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금에 처한다. \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다. \n 도로교통법 제152조 제1호 제43조를 위반하여 도로교통법 제80조에 따른 운전면허(원동기장치자전거면허는 제외한다. 이하 이 조에서 같다)를 받지 아니하거나(운전면허의 효력이 정지된 경우를 포함한다) 또는 도로교통법  제96조에 따른 국제운전면허증 또는 상호인정외국면허증을 받지 아니하고(운전이 금지된 경우와 유효기간이 지난 경우를 포함한다) 자동차를 운전한 사람 \n 도로교통법 제43조 누구든지 도로교통법 제80조에 따라 시ㆍ도경찰청장으로부터 운전면허를 받지 아니하거나 운전면허의 효력이 정지된 경우에는 자동차등을 운전하여서는 아니 된다.",
6,"도로교통법 제148조의2 제3항 제3호,도로교통법 제44조 제1항","도로교통법 제148조의2 제3항 제3호 혈중알코올농도가 0.03퍼센트 이상 0.08퍼센트 미만인 사람은 1년 이하의 징역이나 500만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
7,"도로교통법 제148조의2 제3항 제2호,도로교통법 제44조 제1항","도로교통법 제148조의2 제3항 제2호 혈중알코올농도가 0.08퍼센트 이상 0.2퍼센트 미만인 사람은 1년 이상 2년 이하의 징역이나 500만원 이상 1천만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
8,"도로교통법 제148조의2 제1항,도로교통법 제44조 제1항","도로교통법 제148조의2 제1항 혈중알코올농도가 0.2퍼센트 이상인 사람은 2년 이상 5년 이하의 징역이나 1천만원 이상 2천만원 이하의 벌금 \n 도로교통법 제44조 제1항 누구든지 술에 취한 상태에서 자동차등(「건설기계관리법」 제26조제1항 단서에 따른 건설기계 외의 건설기계를 포함한다. 이하 이 조, 제45조, 제47조, 제93조제1항제1호부터 제4호까지 및 제148조의2에서 같다), 노면전차 또는 자전거를 운전하여서는 아니 된다.",
9,형법 제347조 제1항,형법 제347조 제1항 사람을 기망하여 재물의 교부를 받거나 재산상의 이익을 취득한 자는 10년 이하의 징역 또는 2천만원 이하의 벌금에 처한다.,
10,"교통사고처리특례법 제3조 제1항,형법 제268조",교통사고처리특례법 제3조 제1항  차의 운전자가 교통사고로 인하여 「형법」 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다.,
11,형법 제314조 제1항,형법 제314조 제1항 제313조의 방법 또는 위력으로써 사람의 업무를 방해한 자는 5년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.,
12,"형법 제284조,형법 제283조 제1항","형법 제284조 단체 또는 다중의 위력을 보이거나 위험한 물건을 휴대하여 전조제1항, 제2항의 죄를 범한 때에는 7년 이하의 징역 또는 1천만원 이하의 벌금에 처한다. \n 형법 제283조 제1항 사람을 협박한 자는 3년 이하의 징역, 500만원 이하의 벌금, 구류 또는 과료에 처한다.",
13,"교통사고처리특례법 제3조 제1항,교통사고처리특례법 제3조 제2항_단서 제11호,형법 제268조",교통사고처리특례법 제3조 제1항 차의 운전자가 교통사고로 인하여 「형법」 제268조의 죄를 범한 경우에는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. \n 교통사고처리특례법 제3조 제2항_단서 제11호 「도로교통법」 제12조제3항에 따른 어린이 보호구역에서 같은 조 제1항에 따른 조치를 준수하고 어린이의 안전에 유의하면서 운전하여야 할 의무를 위반하여 어린이의 신체를 상해(傷害)에 이르게 한 경우 \n 형법 제268조 업무상과실 또는 중대한 과실로 사람을 사망이나 상해에 이르게 한 자는 5년 이하의 금고 또는 2천만원 이하의 벌금에 처한다. ,
14,성매매알선등행위의처벌에관한법률 제19조 제2항 제1호,성매매알선등행위의처벌에관한법률 제19조 제2항 제1호 영업으로 성매매알선 등 행위를 한 사람,
15,형법 제330조,"형법 제330조 야간에 사람의 주거, 관리하는 건조물, 선박, 항공기 또는 점유하는 방실(房室)에 침입하여 타인의 재물을 절취(竊取)한 자는 10년 이하의 징역에 처한다.",
16,형법 제329조,형법 제329조 타인의 재물을 절취한 자는 6년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.,
17,"형법 제144조 제1항,형법 제136조 제1항","형법 제144조 제1항 단체 또는 다중의 위력을 보이거나 위험한 물건을 휴대하여 형법 제136조, 형법 제138조와 형법 제140조 내지 전조의 죄를 범한 때에는 각조에 정한 형의 2분의 1까지 가중한다. \n 형법 제136조 제1항 직무를 집행하는 공무원에 대하여 폭행 또는 협박한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다.",
18,성폭력범죄의처벌등에관한특례법 제11조,"성폭력범죄의처벌등에관한특례법 제11조 대중교통수단, 공연ㆍ집회 장소, 그 밖에 공중(公衆)이 밀집하는 장소에서 사람을 추행한 사람은 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다.",
19,"형법 제314조 제1항,형법 제311조",형법 제314조 제1항  제313조의 방법 또는 위력으로써 사람의 업무를 방해한 자는 5년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다. \n 형법 제311조 공연히 사람을 모욕한 자는 1년 이하의 징역이나 금고 또는 200만원 이하의 벌금에 처한다.,
20,"형법 제258조의2 제1항,형법 제257조 제1항","형법 제258조의2 제1항 단체 또는 다중의 위력을 보이거나 위험한 물건을 휴대하여 제257조제1항 또는 제2항의 죄를 범한 때에는 1년 이상 10년 이하의 징역에 처한다. \n 형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다.",
21,"성폭력범죄의처벌등에관한특례법 제7조 제3항,형법 제298조",성폭력범죄의처벌등에관한특례법 제7조 제3항 13세 미만의 사람에 대하여 「형법」 제298조(강제추행)의 죄를 범한 사람은 5년 이상의 유기징역에 처한다. \n 형법 제298조 폭행 또는 협박으로 사람에 대하여 추행을 한 자는 10년 이하의 징역 또는 1천500만원 이하의 벌금에 처한다.,
22,"형법 제257조 제1항,형법 제260조 제1항","형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다. \n 형법 제260조 제1항 사람의 신체에 대하여 폭행을 가한 자는 2년 이하의 징역, 500만원 이하의 벌금, 구류 또는 과료에 처한다.",
23,형법 제311조,형법 제311조 공연히 사람을 모욕한 자는 1년 이하의 징역이나 금고 또는 200만원 이하의 벌금에 처한다.,
24,"형법 제136조 제1항,형법 제257조 제1항","형법 제136조 제1항 직무를 집행하는 공무원에 대하여 폭행 또는 협박한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처한다. \n 형법 제257조 제1항 사람의 신체를 상해한 자는 7년 이하의 징역, 10년 이하의 자격정지 또는 1천만원 이하의 벌금에 처한다.",
